age,city_tier,device,membership,cuisine,weather,day_of_week,hour,is_weekend,distance_km,prior_orders_90d,avg_basket_90d,rating_avg,support_tickets_30d,promo_type,delivery_fee,eta_minutes,basket_value,discount_amount,order_total,net_margin_usd,complaint_within_48h,discount%,amount_prior_discount,delivery_fee%,avg_order_total_90d
48,T1,web,none,middle_eastern,rain,1,19,0,1.67,2,22.52,4.61,2,none,4.06,28.3,29.18,0.0,33.24,11.34,0,0.0,33.24,12.21419975932611,25.27063778580024
51,T2,web,plus,middle_eastern,cold,4,3,0,4.12,7,14.25,5.0,0,none,3.47,36.6,11.71,0.0,15.18,5.33,0,0.0,15.18,22.859025032938078,17.507411067193676
39,T3,ios,none,chinese,hot,4,17,0,7.2,10,15.5,4.61,1,none,4.78,44.3,22.0,0.0,26.78,7.52,1,0.0,26.78,17.849141150112025,18.266616878267364
23,T1,android,plus,mexican,clear,2,4,0,4.88,8,16.5,4.88,0,none,4.08,36.8,21.24,0.0,25.32,11.67,0,0.0,25.32,16.113744075829384,19.158767772511847
53,T1,ios,none,middle_eastern,clear,6,3,1,6.14,9,17.5,4.35,0,none,4.8,50.9,21.89,0.0,26.69,9.44,0,0.0,26.69,17.984263769201945,20.64724615961034
36,T1,web,none,american,clear,5,12,1,2.53,9,21.43,4.74,0,flat3,3.64,31.3,25.43,3.0,26.07,8.56,0,11.507479861910241,29.07,13.96240889911776,21.95609129267357
39,T1,android,plus,thai,cold,4,19,0,6.18,6,17.33,4.32,0,flat3,4.52,39.1,23.65,3.0,25.17,8.03,1,11.918951132300357,28.17,17.957886372665868,18.37654747715534
33,T2,web,pro,thai,clear,5,20,1,4.77,5,22.25,4.75,0,percent10,4.88,41.0,32.07,3.21,33.74,10.47,0,9.51393005334914,36.95,14.463544754001184,23.35128927089508
25,T2,web,plus,italian,clear,3,14,0,1.85,6,21.1,3.49,0,none,2.96,23.9,30.02,0.0,32.98,15.95,0,0.0,32.98,8.975136446331112,22.993753790175866
56,T2,android,plus,middle_eastern,clear,3,9,0,4.27,13,13.66,3.86,0,percent10,3.76,36.6,15.84,1.58,18.02,6.79,1,8.76803551609323,19.6,20.865704772475027,15.312541620421753
50,T1,ios,plus,indian,clear,3,14,0,2.77,10,23.48,4.12,0,none,3.13,24.9,32.08,0.0,35.21,14.33,0,0.0,35.21,8.889520022720818,25.56725930133485
45,T1,android,plus,middle_eastern,clear,5,7,1,21.29,4,27.69,4.56,0,none,9.55,90.0,29.05,0.0,38.6,11.85,1,0.0,38.6,24.74093264248705,34.54076424870466
34,T1,ios,none,middle_eastern,clear,0,3,0,7.5,5,17.61,4.5,0,none,5.14,56.6,19.54,0.0,24.68,8.06,1,0.0,24.68,20.826580226904376,21.27756077795786
52,T3,web,none,chinese,rain,0,9,0,4.59,9,22.26,3.92,0,none,4.33,43.9,25.11,0.0,29.44,9.37,0,0.0,29.44,14.707880434782608,25.53397418478261
40,T2,android,plus,mexican,clear,3,4,0,9.4,4,13.91,3.75,0,flat3,5.62,56.6,16.68,3.0,19.3,3.23,0,15.544041450777202,22.3,29.119170984455955,15.798300518134715
36,T1,android,none,middle_eastern,clear,4,2,0,6.28,7,28.29,4.2,0,none,4.69,46.7,36.01,0.0,40.7,16.25,0,0.0,40.7,11.523341523341523,31.549953316953317
36,T2,android,plus,mexican,clear,1,17,0,1.87,8,23.69,4.09,0,none,2.67,23.6,27.75,0.0,30.42,11.82,0,0.0,30.42,8.777120315581852,25.769299802761342
27,T1,web,none,italian,clear,4,20,0,11.19,4,23.28,4.11,2,none,6.61,72.9,23.49,0.0,30.1,9.44,0,0.0,30.1,21.96013289036545,28.39231893687708
21,T1,android,none,indian,hot,0,17,0,1.59,8,15.09,4.15,0,flat3,3.2,25.8,21.42,3.0,21.62,7.31,0,13.876040703052727,24.62,14.801110083256244,15.229592969472712
41,T1,web,none,mexican,clear,1,21,0,10.33,9,23.3,4.17,0,none,6.32,63.7,38.38,0.0,44.7,14.81,1,0.0,44.7,14.13870246085011,26.594317673378075
55,T3,android,plus,chinese,clear,3,11,0,4.85,2,22.55,4.59,0,none,3.42,32.1,26.62,0.0,30.04,12.63,0,0.0,30.04,11.384820239680426,25.11727696404794
20,T2,android,none,american,clear,0,16,0,4.11,3,22.32,4.56,0,none,3.45,37.8,28.89,0.0,32.34,12.99,0,0.0,32.34,10.667903525046382,24.701076066790353
54,T2,web,plus,middle_eastern,clear,4,4,0,2.49,9,27.87,4.1,0,none,3.22,29.4,34.82,0.0,38.04,15.74,0,0.0,38.04,8.464773922187172,30.229132492113564
52,T1,ios,none,italian,hot,3,10,0,5.02,9,16.15,4.11,0,flat3,4.03,42.4,25.0,3.0,26.03,7.64,0,11.525163273146369,29.03,15.482135996926624,16.78905109489051
29,T1,android,none,chinese,hot,3,2,0,6.04,8,26.87,4.53,0,percent10,4.15,36.7,25.47,2.55,27.07,6.35,0,9.420022164758034,29.62,15.330624307351313,28.458178795714815
44,T2,android,plus,italian,clear,3,14,0,5.72,7,24.66,4.35,0,percent10,4.11,43.0,25.33,2.53,26.91,8.4,0,9.401709401709402,29.44,15.273132664437014,26.10789297658863
24,T1,android,none,italian,clear,4,10,0,4.81,8,12.05,4.58,0,none,4.22,40.0,20.54,0.0,24.76,9.52,0,0.0,24.76,17.043618739903067,14.10375605815832
49,T3,android,plus,thai,clear,4,13,0,3.75,9,30.01,4.43,0,percent10,3.16,31.4,38.44,3.84,37.76,13.47,0,10.16949152542373,41.599999999999994,8.36864406779661,29.469565677966106
47,T2,android,none,chinese,rain,4,20,0,6.51,11,14.75,4.24,0,none,5.95,48.4,18.25,0.0,24.2,7.92,0,0.0,24.2,24.586776859504134,18.37654958677686
32,T1,ios,none,middle_eastern,clear,1,1,0,3.21,3,20.36,4.32,0,percent10,3.59,29.8,24.89,2.49,25.99,7.42,0,9.580607926125435,28.479999999999997,13.813005001923816,21.22171604463255
20,T2,android,none,thai,cold,4,10,0,3.99,9,19.42,3.59,1,none,3.64,35.9,26.01,0.0,29.65,9.88,0,0.0,29.65,12.27655986509275,21.804107925801013
58,T3,android,plus,indian,clear,1,9,0,5.46,6,14.42,4.03,2,none,3.7,37.3,17.48,0.0,21.18,6.96,1,0.0,21.18,17.469310670443818,16.939074598677998
36,T2,android,none,italian,cold,0,17,0,4.24,4,23.16,4.77,1,none,3.43,41.0,30.79,0.0,34.22,12.32,0,0.0,34.22,10.023378141437757,25.481414377556984
55,T2,android,none,thai,clear,6,15,1,1.61,4,15.34,4.61,1,none,2.95,24.7,17.2,0.0,20.15,8.23,0,0.0,20.15,14.640198511166256,17.585806451612903
46,T3,web,plus,mexican,clear,1,17,0,4.84,4,12.52,4.16,0,none,3.84,35.6,16.64,0.0,20.48,7.21,0,0.0,20.48,18.75,14.8675
50,T1,android,pro,mexican,clear,0,20,0,4.86,8,16.46,3.86,1,flat3,4.69,33.6,23.06,3.0,24.75,9.48,0,12.121212121212121,27.75,18.94949494949495,17.583935353535356
49,T3,android,plus,indian,clear,2,7,0,4.59,9,9.29,4.48,0,none,3.68,30.8,10.43,0.0,14.11,5.51,0,0.0,14.11,26.08079376328845,11.712905740609497
26,T1,ios,plus,italian,cold,6,8,1,3.79,5,13.38,3.57,1,percent20,3.89,31.7,24.31,4.86,23.34,5.75,0,20.822622107969153,28.2,16.666666666666668,12.823933161953729
33,T2,web,none,thai,clear,6,8,1,3.39,6,23.91,4.42,0,none,3.27,30.8,36.51,0.0,39.78,15.18,0,0.0,39.78,8.220211161387631,25.87545248868778
37,T2,ios,none,american,clear,5,19,1,4.3,5,8.79,4.27,1,flat3,3.92,40.6,11.46,3.0,12.38,1.87,1,24.232633279483036,15.38,31.663974151857833,9.443214862681744
38,T2,web,plus,mexican,cold,1,11,0,2.52,5,22.24,4.15,0,none,3.03,24.6,23.11,0.0,26.14,11.63,0,0.0,26.14,11.59143075745983,24.817934200459064
19,T2,web,plus,mexican,clear,4,18,0,9.81,7,16.68,4.62,1,none,5.56,52.4,22.23,0.0,27.79,7.1,1,0.0,27.79,20.007196833393305,20.017200431810004
40,T2,ios,plus,chinese,clear,5,5,1,5.54,5,26.66,4.57,0,none,4.54,41.7,29.62,0.0,34.16,13.22,0,0.0,34.16,13.290398126463701,30.203220140515224
24,T1,web,plus,american,clear,2,22,0,5.16,5,21.25,4.52,0,percent20,4.89,38.6,26.29,5.26,25.92,6.44,0,20.29320987654321,31.18,18.865740740740737,20.946662808641975
49,T1,android,plus,thai,clear,1,11,0,8.27,8,14.15,4.8,0,none,5.08,49.4,22.38,0.0,27.46,9.63,1,0.0,27.46,18.499635833940275,16.76769847050255
46,T1,web,none,american,cold,6,23,1,2.3,3,22.69,4.06,0,none,3.82,31.7,23.45,0.0,27.27,9.75,0,0.0,27.27,14.008067473414007,25.86843050971764
56,T2,web,none,thai,clear,0,10,0,3.05,10,15.68,4.06,1,none,3.2,31.6,17.33,0.0,20.53,7.57,0,0.0,20.53,15.586945932781296,18.12403312226011
49,T1,web,pro,middle_eastern,rain,6,1,1,2.88,7,25.39,4.27,0,percent10,4.21,38.2,31.44,3.14,32.51,10.75,0,9.65856659489388,35.65,12.949861581051985,26.225659796985546
33,T1,android,none,middle_eastern,clear,3,6,0,5.32,3,21.12,4.88,1,percent10,4.34,37.4,25.45,2.54,27.25,8.19,0,9.321100917431192,29.79,15.926605504587155,22.51508256880734
58,T3,ios,none,american,clear,5,10,1,2.25,12,11.63,3.67,1,none,2.51,34.0,19.23,0.0,21.74,9.29,0,0.0,21.74,11.545538178472862,12.972746090156395
35,T1,android,none,italian,rain,2,3,0,6.86,7,18.39,4.06,3,none,5.45,52.8,27.63,0.0,33.08,8.75,0,0.0,33.08,16.47521160822249,21.419791414752115
31,T1,ios,plus,indian,hot,4,18,0,5.22,6,17.94,4.03,0,none,4.14,40.5,21.0,0.0,25.14,8.73,0,0.0,25.14,16.46778042959427,20.894319809069213
56,T1,android,plus,indian,rain,6,8,1,2.77,7,19.82,4.42,1,none,4.21,36.4,27.01,0.0,31.22,13.05,0,0.0,31.22,13.484945547725818,22.49271620755926
33,T1,ios,plus,american,clear,3,19,0,1.73,9,20.54,3.85,1,none,2.76,24.1,24.43,0.0,27.19,9.9,0,0.0,27.19,10.150790731886723,22.62497241632953
21,T2,ios,none,middle_eastern,clear,1,23,0,5.13,9,8.4,4.27,0,percent20,4.08,37.2,14.02,2.8,15.3,3.12,0,18.30065359477124,18.1,26.666666666666668,9.102745098039216
37,T1,android,none,thai,hot,0,1,0,1.36,7,20.95,4.85,0,percent20,2.9,21.8,24.36,4.87,22.39,5.91,0,21.750781598928093,27.26,12.952210808396606,19.106699419383652
51,T1,android,none,american,rain,6,6,1,2.61,8,17.18,3.82,1,none,4.4,36.3,20.01,0.0,24.41,8.71,0,0.0,24.41,18.025399426464563,20.27676362146661
25,T3,android,plus,indian,clear,6,14,1,3.92,7,12.5,3.95,0,none,3.43,31.8,18.35,0.0,21.78,8.7,0,0.0,21.78,15.748393021120293,14.468549127640037
37,T3,ios,none,mexican,clear,4,20,0,3.74,6,10.98,4.29,1,percent10,4.39,36.4,10.25,1.03,13.61,3.6,0,7.567964731814842,14.639999999999999,32.255694342395294,13.690712711241735
23,T2,ios,plus,thai,hot,0,21,0,2.82,4,9.73,4.57,0,percent10,3.65,29.3,11.06,1.11,13.6,3.44,0,8.161764705882355,14.709999999999999,26.838235294117645,11.547220588235295
46,T3,ios,none,chinese,clear,6,4,1,6.6,5,29.66,4.32,0,percent10,4.29,45.3,19.68,1.97,22.0,5.39,1,8.954545454545453,23.97,19.5,32.78778181818182
37,T3,android,plus,american,rain,3,5,0,2.4,9,19.95,4.59,0,percent10,3.48,32.8,25.11,2.51,26.08,8.38,0,9.624233128834355,28.589999999999996,13.34355828220859,20.69200536809816
31,T1,web,none,italian,rain,1,4,0,2.8,10,21.38,4.58,1,flat3,4.53,37.7,24.65,3.0,26.18,7.02,0,11.45912910618793,29.18,17.303284950343777,22.62948051948052
27,T2,ios,plus,chinese,clear,2,8,0,4.54,5,28.79,3.85,0,none,3.63,29.5,38.23,0.0,41.86,15.21,0,0.0,41.86,8.671763019589106,31.286600573339705
41,T2,android,plus,thai,clear,6,14,1,4.55,2,36.54,4.2,0,none,3.82,40.3,47.29,0.0,51.11,18.58,0,0.0,51.11,7.474075523380942,39.271027196243395
46,T1,android,none,mexican,clear,5,9,1,1.91,8,14.89,3.55,1,percent20,2.64,30.3,19.17,3.83,17.98,3.43,0,21.301446051167964,21.810000000000002,14.68298109010011,13.904510567296999
57,T1,android,none,mexican,rain,4,17,0,4.4,3,16.02,4.43,0,flat3,5.12,37.8,25.91,3.0,28.03,7.31,0,10.702818408847662,31.03,18.266143417766678,17.231644666428824
36,T1,android,none,mexican,cold,5,9,1,3.01,5,13.11,5.0,0,none,3.62,32.0,15.86,0.0,19.48,6.63,0,0.0,19.48,18.583162217659137,15.546252566735113
24,T2,android,none,thai,clear,5,14,1,2.88,9,17.04,4.04,0,none,3.17,31.5,17.8,0.0,20.97,8.63,0,0.0,20.97,15.116833571769195,19.615908440629468
52,T2,android,plus,italian,clear,4,13,0,5.04,4,9.3,4.14,0,none,3.92,34.2,11.19,0.0,15.11,5.27,0,0.0,15.11,25.943084050297816,11.712706816677699
44,T2,android,none,american,clear,2,6,0,2.23,10,25.8,4.0,0,none,3.04,30.3,30.27,0.0,33.31,11.87,0,0.0,33.31,9.126388471930351,28.154608225758032
47,T1,android,plus,middle_eastern,rain,0,1,0,3.6,2,24.36,4.77,0,percent10,5.01,35.3,31.25,3.12,33.14,10.73,0,9.414604707302354,36.26,15.117682558841278,25.74926976463488
22,T1,android,none,mexican,clear,0,5,0,4.06,5,17.92,4.48,1,none,3.72,29.4,27.16,0.0,30.88,11.66,0,0.0,30.88,12.046632124352334,20.07875647668394
31,T2,web,plus,chinese,hot,1,18,0,5.09,2,11.39,4.15,0,none,4.07,36.1,13.56,0.0,17.63,6.37,0,0.0,17.63,23.085649461145778,14.019455473624504
50,T2,android,none,chinese,clear,5,17,1,2.69,5,26.6,3.77,0,none,2.9,30.9,28.6,0.0,31.5,12.34,0,0.0,31.5,9.206349206349206,29.04888888888889
52,T3,android,none,american,clear,0,2,0,5.76,5,15.32,4.15,0,none,4.25,40.1,17.18,0.0,21.43,7.84,0,0.0,21.43,19.832011199253383,18.358264115725618
36,T3,ios,none,chinese,clear,0,9,0,6.75,12,28.39,3.88,1,none,4.68,47.4,36.55,0.0,41.23,15.75,0,0.0,41.23,11.350958040261945,31.612536987630367
51,T3,android,plus,american,hot,6,19,1,6.66,3,18.37,4.21,0,percent10,4.11,41.9,18.62,1.86,20.87,5.36,0,8.912314326784859,22.73,19.693339722089124,20.350474365117392
53,T3,android,none,thai,rain,2,19,0,1.84,5,18.42,4.3,2,none,3.38,35.7,19.19,0.0,22.57,7.29,0,0.0,22.57,14.97563136907399,21.17851129818343
34,T3,android,plus,mexican,clear,0,0,0,6.55,4,12.69,3.95,0,percent10,4.63,42.6,18.62,1.86,21.39,5.7,0,8.695652173913043,23.25,21.64562879850397,14.333352033660589
55,T2,android,none,indian,clear,6,18,1,6.72,1,25.22,3.96,0,none,4.61,49.3,24.85,0.0,29.46,11.18,0,0.0,29.46,15.648336727766463,29.1665105227427
30,T1,ios,pro,mexican,cold,6,18,1,11.04,5,11.34,4.59,0,flat3,5.71,62.8,14.47,3.0,17.18,2.88,0,17.462165308498253,20.18,33.23632130384168,13.128789289871944
28,T1,android,plus,thai,hot,3,2,0,1.99,5,26.04,4.03,0,flat3,3.3,26.5,38.46,3.0,38.76,13.52,0,7.739938080495357,41.76,8.513931888544892,26.241547987616098
46,T1,android,none,chinese,clear,0,8,0,9.09,5,27.47,4.8,0,none,5.46,53.5,34.13,0.0,39.59,13.54,0,0.0,39.59,13.791361454912856,31.25848699166456
44,T1,ios,plus,american,hot,4,1,0,1.34,7,11.41,4.43,1,none,2.68,21.4,18.29,0.0,20.97,7.2,0,0.0,20.97,12.780162136385314,12.868216499761564
23,T1,web,none,chinese,cold,6,15,1,6.86,3,24.78,4.37,1,none,5.0,51.0,22.86,0.0,27.86,8.88,0,0.0,27.86,17.946877243359655,29.227236180904523
52,T3,android,plus,italian,clear,6,20,1,7.69,3,28.83,4.42,2,none,5.91,52.0,41.81,0.0,47.72,16.28,0,0.0,47.72,12.384744341994972,32.40052179379715
26,T1,android,none,mexican,clear,4,4,0,6.68,3,21.79,3.47,1,none,4.77,47.9,11.81,0.0,16.58,5.29,0,0.0,16.58,28.76960193003619,28.058896260554885
51,T3,android,plus,american,clear,6,8,1,1.58,4,23.72,4.58,0,percent10,2.53,26.7,26.75,2.68,26.6,10.43,0,10.075187969924812,29.28,9.511278195488721,23.586240601503757
18,T2,ios,none,chinese,clear,5,12,1,8.74,11,20.3,4.66,0,flat3,4.75,60.7,31.36,3.0,33.11,10.17,1,9.06070673512534,36.11,14.346118997281787,21.37293868921776
51,T2,ios,none,italian,hot,1,1,0,15.45,2,18.4,4.44,1,none,7.0,82.3,25.57,0.0,32.57,6.69,0,0.0,32.57,21.492170709241634,22.35455941050046
51,T2,ios,plus,american,clear,4,7,0,2.16,5,14.05,3.76,0,none,2.58,24.1,18.21,0.0,20.79,9.42,0,0.0,20.79,12.40981240981241,15.793578643578645
50,T1,android,none,italian,clear,4,5,0,3.46,3,18.87,4.41,1,flat3,3.42,32.8,29.43,3.0,29.85,9.33,0,10.050251256281406,32.85,11.457286432160803,19.135507537688444
45,T2,android,none,thai,clear,5,0,1,2.65,7,16.18,3.89,2,none,2.98,31.2,19.42,0.0,22.4,7.49,0,0.0,22.4,13.303571428571429,18.332517857142857
37,T1,web,none,italian,rain,3,16,0,6.02,7,30.47,4.5,0,none,5.04,45.7,30.55,0.0,35.59,14.21,0,0.0,35.59,14.161281258780555,34.78494239955043
47,T3,android,plus,indian,clear,5,17,1,3.15,7,19.8,4.46,0,percent10,3.05,32.1,21.91,2.19,22.77,7.83,0,9.617918313570488,24.96,13.39481774264383,20.547826086956526
29,T1,web,none,mexican,clear,4,1,0,6.25,11,19.01,4.12,2,none,4.57,48.8,20.27,0.0,24.84,8.0,0,0.0,24.84,18.397745571658618,22.507411433172305
50,T1,android,none,italian,clear,1,3,0,3.78,10,20.33,4.34,0,percent10,3.48,35.1,26.31,2.63,27.16,8.89,0,9.683357879234167,29.79,12.812960235640647,20.966248159057436
41,T2,android,pro,chinese,hot,3,1,0,4.57,3,22.91,4.36,0,percent10,3.77,31.5,18.84,1.88,20.73,7.61,0,9.068982151471298,22.61,18.18620356970574,24.99875542691751
37,T2,android,pro,middle_eastern,clear,6,22,1,4.18,7,15.55,4.7,0,none,4.32,38.3,22.39,0.0,26.71,9.81,0,0.0,26.71,16.173717708723327,18.065013103706477
39,T2,android,none,american,clear,5,13,1,1.37,1,23.71,4.27,1,percent10,2.84,28.5,18.25,1.83,19.26,7.91,0,9.501557632398754,21.090000000000003,14.745586708203529,24.953359293873312
41,T2,web,none,chinese,hot,4,13,0,4.42,13,17.52,3.91,0,none,3.85,36.1,20.37,0.0,24.22,8.18,0,0.0,24.22,15.895953757225435,20.304971098265895
19,T1,android,none,mexican,clear,2,2,0,1.61,5,23.61,3.64,0,none,3.2,25.1,25.15,0.0,28.35,13.4,0,0.0,28.35,11.28747795414462,26.274973544973545
23,T2,ios,pro,american,rain,1,0,0,1.76,8,14.78,4.73,1,flat3,3.29,36.1,16.57,3.0,16.86,4.48,0,17.793594306049823,19.86,19.51364175563464,15.034223013048635
28,T1,ios,none,indian,clear,1,22,0,8.85,9,18.38,3.79,0,flat3,4.93,64.7,23.55,3.0,25.48,6.65,0,11.773940345368917,28.48,19.34850863422292,19.772205651491365
22,T1,web,none,indian,hot,2,22,0,5.95,3,28.12,3.85,0,none,5.14,45.0,40.99,0.0,46.13,16.73,0,0.0,46.13,11.142423585519182,31.253249512247997
36,T1,ios,none,mexican,clear,6,13,1,5.66,8,31.14,4.09,0,none,4.79,47.1,35.26,0.0,40.05,14.29,0,0.0,40.05,11.960049937578027,34.8643595505618
46,T1,web,none,middle_eastern,clear,3,3,0,4.47,8,23.22,4.1,2,percent10,3.6,36.2,23.61,2.36,24.85,6.91,0,9.496981891348087,27.21,14.486921529175051,24.37866398390342
45,T1,web,none,middle_eastern,clear,2,0,0,13.77,4,12.49,3.7,0,percent10,7.11,74.4,17.11,1.71,22.51,2.98,0,7.596623722789871,24.220000000000002,31.585961794757882,15.486268325188803
37,T2,android,plus,mexican,cold,6,20,1,4.4,3,9.15,4.27,0,flat3,4.12,41.7,11.98,3.0,13.1,2.63,0,22.900763358778626,16.1,31.450381679389317,9.932290076335878
53,T1,web,none,thai,hot,2,12,0,3.94,5,23.22,3.82,0,none,4.16,36.9,27.02,0.0,31.18,11.39,0,0.0,31.18,13.341885824246313,26.31798588838999
41,T1,web,none,mexican,clear,5,7,1,3.86,6,31.1,4.39,1,none,3.86,39.0,35.24,0.0,39.1,16.09,0,0.0,39.1,9.872122762148337,34.17023017902813
21,T2,android,plus,middle_eastern,clear,4,0,0,7.97,4,17.88,4.42,0,none,4.94,48.3,18.59,0.0,23.53,7.96,0,0.0,23.53,20.994475138121548,21.63381215469613
50,T1,ios,none,mexican,clear,2,13,0,4.27,4,18.07,4.64,1,percent10,4.16,40.7,22.36,2.24,24.28,7.31,0,9.225700164744646,26.520000000000003,17.133443163097198,19.498929159802305
42,T2,android,none,middle_eastern,clear,6,21,1,5.05,6,19.67,4.41,0,none,4.51,40.9,21.16,0.0,25.67,8.37,0,0.0,25.67,17.569146864043628,23.125851188157384
44,T3,ios,none,italian,clear,4,20,0,8.35,3,33.11,4.48,0,percent20,5.17,55.6,42.02,8.4,38.79,9.22,0,21.655065738592423,47.19,13.328177365300336,30.352967259602988
41,T1,android,plus,middle_eastern,hot,6,17,1,5.74,7,22.56,3.73,3,none,4.71,39.3,38.07,0.0,42.78,14.68,0,0.0,42.78,11.009817671809257,25.043814866760165
41,T3,ios,none,american,clear,0,1,0,7.14,7,19.26,3.96,0,none,4.08,48.5,19.76,0.0,23.84,7.84,1,0.0,23.84,17.114093959731544,22.556174496644296
21,T1,android,plus,american,hot,1,18,0,2.64,5,19.19,4.2,0,none,3.27,26.1,23.77,0.0,27.04,10.21,0,0.0,27.04,12.09319526627219,21.510684171597635
41,T1,ios,none,indian,clear,2,16,0,2.01,4,19.88,4.55,0,none,3.04,29.0,25.69,0.0,28.73,11.31,0,0.0,28.73,10.58127392969022,21.983557257222415
51,T2,android,none,american,hot,4,20,0,9.95,7,24.83,4.23,0,none,7.08,62.0,32.34,0.0,39.42,14.28,0,0.0,39.42,17.960426179604262,29.289573820395738
30,T2,ios,none,chinese,clear,5,3,1,6.99,9,14.17,4.15,0,none,4.2,55.4,19.52,0.0,23.72,9.98,0,0.0,23.72,17.706576728499158,16.67902192242833
43,T3,android,none,middle_eastern,clear,0,20,0,6.11,6,23.79,4.45,0,flat3,4.34,45.2,23.19,3.0,24.53,7.73,0,12.22992254382389,27.53,17.692621280065225,25.08957602935181
19,T1,ios,none,chinese,hot,1,17,0,5.26,6,25.25,3.58,0,none,4.46,38.9,22.38,0.0,26.84,8.82,0,0.0,26.84,16.61698956780924,29.445789865871834
32,T2,android,plus,american,clear,4,18,0,4.22,7,15.5,3.89,1,none,3.5,34.3,14.69,0.0,18.19,4.87,0,0.0,18.19,19.24134139637163,18.4824079164376
36,T1,android,none,thai,hot,2,3,0,2.7,7,24.05,4.31,1,none,3.41,25.1,32.25,0.0,35.66,14.45,1,0.0,35.66,9.562535053280987,26.34978968031408
59,T1,android,none,italian,hot,4,20,0,2.64,5,31.6,4.26,0,flat3,3.76,30.4,36.15,3.0,36.91,13.39,0,8.127878623679221,39.91,10.186941208344622,32.25066377675427
27,T1,web,pro,middle_eastern,cold,0,0,0,1.98,3,14.13,4.42,1,percent10,2.96,24.3,15.79,1.58,17.17,6.45,0,9.202096680256261,18.75,17.23937099592312,15.265666860803728
29,T3,android,none,italian,hot,3,5,0,1.62,8,17.17,4.34,0,flat3,2.58,28.8,20.12,3.0,19.7,6.57,0,15.228426395939088,22.7,13.096446700507617,16.803939086294417
35,T1,ios,none,indian,clear,0,3,0,2.37,9,20.8,4.39,1,percent20,3.34,29.3,28.2,5.64,25.9,5.62,0,21.776061776061777,31.54,12.895752895752896,18.952895752895756
59,T3,android,none,indian,clear,6,5,1,3.34,8,20.37,4.05,1,percent10,3.0,30.7,30.28,3.03,30.25,8.25,1,10.016528925619834,33.28,9.917355371900827,20.349798347107438
53,T2,ios,none,american,rain,1,15,0,9.91,12,12.35,4.72,0,none,6.0,62.7,14.4,0.0,20.4,5.46,0,0.0,20.4,29.411764705882355,15.98235294117647
19,T2,android,pro,italian,clear,1,22,0,1.58,12,12.74,3.88,0,none,3.19,22.3,16.05,0.0,19.24,9.11,0,0.0,19.24,16.58004158004158,14.852297297297298
