order_id,age,city_tier,device,membership,cuisine,weather,day_of_week,hour,is_weekend,distance_km,prior_orders_90d,avg_basket_90d,rating_avg,support_tickets_30d,promo_type,delivery_fee,eta_minutes,basket_value,discount_amount,order_total,net_margin_usd,complaint_within_48h
100040,24,T1,android,none,italian,clear,4,10,0,4.81,8,12.05,4.58,0,none,4.22,40.0,20.54,0.0,24.76,9.52,0
100041,49,T3,android,plus,thai,clear,4,13,0,3.75,9,30.01,4.43,0,percent10,3.16,31.4,38.44,3.84,37.76,13.47,0
100042,47,T2,android,none,chinese,rain,4,20,0,6.51,11,14.75,4.24,0,none,5.95,48.4,18.25,0.0,24.2,7.92,0
100043,32,T1,ios,none,middle_eastern,clear,1,1,0,3.21,3,20.36,4.32,0,percent10,3.59,29.8,24.89,2.49,25.99,7.42,0
100044,20,T2,android,none,thai,cold,4,10,0,3.99,9,19.42,3.59,1,none,3.64,35.9,26.01,0.0,29.65,9.88,0
100045,58,T3,android,plus,indian,clear,1,9,0,5.46,6,14.42,4.03,2,none,3.7,37.3,17.48,0.0,21.18,6.96,1
100046,36,T2,android,none,italian,cold,0,17,0,4.24,4,23.16,4.77,1,none,3.43,41.0,30.79,0.0,34.22,12.32,0
100047,55,T2,android,none,thai,clear,6,15,1,1.61,4,15.34,4.61,1,none,2.95,24.7,17.2,0.0,20.15,8.23,0
100048,46,T3,web,plus,mexican,clear,1,17,0,4.84,4,12.52,4.16,0,none,3.84,35.6,16.64,0.0,20.48,7.21,0
100049,50,T1,android,pro,mexican,clear,0,20,0,4.86,8,16.46,3.86,1,flat3,4.69,33.6,23.06,3.0,24.75,9.48,0
100050,49,T3,android,plus,indian,clear,2,7,0,4.59,9,9.29,4.48,0,none,3.68,30.8,10.43,0.0,14.11,5.51,0
100051,26,T1,ios,plus,italian,cold,6,8,1,3.79,5,13.38,3.57,1,percent20,3.89,31.7,24.31,4.86,23.34,5.75,0
100052,33,T2,web,none,thai,clear,6,8,1,3.39,6,23.91,4.42,0,none,3.27,30.8,36.51,0.0,39.78,15.18,0
100053,37,T2,ios,none,american,clear,5,19,1,4.3,5,8.79,4.27,1,flat3,3.92,40.6,11.46,3.0,12.38,1.87,1
100054,38,T2,web,plus,mexican,cold,1,11,0,2.52,5,22.24,4.15,0,none,3.03,24.6,23.11,0.0,26.14,11.63,0
100055,19,T2,web,plus,mexican,clear,4,18,0,9.81,7,16.68,4.62,1,none,5.56,52.4,22.23,0.0,27.79,7.1,1
100056,40,T2,ios,plus,chinese,clear,5,5,1,5.54,5,26.66,4.57,0,none,4.54,41.7,29.62,0.0,34.16,13.22,0
100057,24,T1,web,plus,american,clear,2,22,0,5.16,5,21.25,4.52,0,percent20,4.89,38.6,26.29,5.26,25.92,6.44,0
100058,49,T1,android,plus,thai,clear,1,11,0,8.27,8,14.15,4.8,0,none,5.08,49.4,22.38,0.0,27.46,9.63,1
100059,46,T1,web,none,american,cold,6,23,1,2.3,3,22.69,4.06,0,none,3.82,31.7,23.45,0.0,27.27,9.75,0
100060,56,T2,web,none,thai,clear,0,10,0,3.05,10,15.68,4.06,1,none,3.2,31.6,17.33,0.0,20.53,7.57,0
100061,49,T1,web,pro,middle_eastern,rain,6,1,1,2.88,7,25.39,4.27,0,percent10,4.21,38.2,31.44,3.14,32.51,10.75,0
100062,33,T1,android,none,middle_eastern,clear,3,6,0,5.32,3,21.12,4.88,1,percent10,4.34,37.4,25.45,2.54,27.25,8.19,0
100063,58,T3,ios,none,american,clear,5,10,1,2.25,12,11.63,3.67,1,none,2.51,34.0,19.23,0.0,21.74,9.29,0
100064,35,T1,android,none,italian,rain,2,3,0,6.86,7,18.39,4.06,3,none,5.45,52.8,27.63,0.0,33.08,8.75,0
100065,31,T1,ios,plus,indian,hot,4,18,0,5.22,6,17.94,4.03,0,none,4.14,40.5,21.0,0.0,25.14,8.73,0
100066,56,T1,android,plus,indian,rain,6,8,1,2.77,7,19.82,4.42,1,none,4.21,36.4,27.01,0.0,31.22,13.05,0
100067,33,T1,ios,plus,american,clear,3,19,0,1.73,9,20.54,3.85,1,none,2.76,24.1,24.43,0.0,27.19,9.9,0
100068,21,T2,ios,none,middle_eastern,clear,1,23,0,5.13,9,8.4,4.27,0,percent20,4.08,37.2,14.02,2.8,15.3,3.12,0
100069,37,T1,android,none,thai,hot,0,1,0,1.36,7,20.95,4.85,0,percent20,2.9,21.8,24.36,4.87,22.39,5.91,0
100070,51,T1,android,none,american,rain,6,6,1,2.61,8,17.18,3.82,1,none,4.4,36.3,20.01,0.0,24.41,8.71,0
100071,25,T3,android,plus,indian,clear,6,14,1,3.92,7,12.5,3.95,0,none,3.43,31.8,18.35,0.0,21.78,8.7,0
100072,37,T3,ios,none,mexican,clear,4,20,0,3.74,6,10.98,4.29,1,percent10,4.39,36.4,10.25,1.03,13.61,3.6,0
100073,23,T2,ios,plus,thai,hot,0,21,0,2.82,4,9.73,4.57,0,percent10,3.65,29.3,11.06,1.11,13.6,3.44,0
100074,46,T3,ios,none,chinese,clear,6,4,1,6.6,5,29.66,4.32,0,percent10,4.29,45.3,19.68,1.97,22.0,5.39,1
100075,37,T3,android,plus,american,rain,3,5,0,2.4,9,19.95,4.59,0,percent10,3.48,32.8,25.11,2.51,26.08,8.38,0
100076,31,T1,web,none,italian,rain,1,4,0,2.8,10,21.38,4.58,1,flat3,4.53,37.7,24.65,3.0,26.18,7.02,0
100077,27,T2,ios,plus,chinese,clear,2,8,0,4.54,5,28.79,3.85,0,none,3.63,29.5,38.23,0.0,41.86,15.21,0
100078,41,T2,android,plus,thai,clear,6,14,1,4.55,2,36.54,4.2,0,none,3.82,40.3,47.29,0.0,51.11,18.58,0
100079,46,T1,android,none,mexican,clear,5,9,1,1.91,8,14.89,3.55,1,percent20,2.64,30.3,19.17,3.83,17.98,3.43,0
100080,57,T1,android,none,mexican,rain,4,17,0,4.4,3,16.02,4.43,0,flat3,5.12,37.8,25.91,3.0,28.03,7.31,0
100081,36,T1,android,none,mexican,cold,5,9,1,3.01,5,13.11,5.0,0,none,3.62,32.0,15.86,0.0,19.48,6.63,0
100082,24,T2,android,none,thai,clear,5,14,1,2.88,9,17.04,4.04,0,none,3.17,31.5,17.8,0.0,20.97,8.63,0
100083,52,T2,android,plus,italian,clear,4,13,0,5.04,4,9.3,4.14,0,none,3.92,34.2,11.19,0.0,15.11,5.27,0
100084,44,T2,android,none,american,clear,2,6,0,2.23,10,25.8,4.0,0,none,3.04,30.3,30.27,0.0,33.31,11.87,0
100085,47,T1,android,plus,middle_eastern,rain,0,1,0,3.6,2,24.36,4.77,0,percent10,5.01,35.3,31.25,3.12,33.14,10.73,0
100086,22,T1,android,none,mexican,clear,0,5,0,4.06,5,17.92,4.48,1,none,3.72,29.4,27.16,0.0,30.88,11.66,0
100087,31,T2,web,plus,chinese,hot,1,18,0,5.09,2,11.39,4.15,0,none,4.07,36.1,13.56,0.0,17.63,6.37,0
100088,50,T2,android,none,chinese,clear,5,17,1,2.69,5,26.6,3.77,0,none,2.9,30.9,28.6,0.0,31.5,12.34,0
100089,52,T3,android,none,american,clear,0,2,0,5.76,5,15.32,4.15,0,none,4.25,40.1,17.18,0.0,21.43,7.84,0
100090,36,T3,ios,none,chinese,clear,0,9,0,6.75,12,28.39,3.88,1,none,4.68,47.4,36.55,0.0,41.23,15.75,0
100091,51,T3,android,plus,american,hot,6,19,1,6.66,3,18.37,4.21,0,percent10,4.11,41.9,18.62,1.86,20.87,5.36,0
100092,53,T3,android,none,thai,rain,2,19,0,1.84,5,18.42,4.3,2,none,3.38,35.7,19.19,0.0,22.57,7.29,0
100093,34,T3,android,plus,mexican,clear,0,0,0,6.55,4,12.69,3.95,0,percent10,4.63,42.6,18.62,1.86,21.39,5.7,0
100094,55,T2,android,none,indian,clear,6,18,1,6.72,1,25.22,3.96,0,none,4.61,49.3,24.85,0.0,29.46,11.18,0
100095,30,T1,ios,pro,mexican,cold,6,18,1,11.04,5,11.34,4.59,0,flat3,5.71,62.8,14.47,3.0,17.18,2.88,0
100096,28,T1,android,plus,thai,hot,3,2,0,1.99,5,26.04,4.03,0,flat3,3.3,26.5,38.46,3.0,38.76,13.52,0
100097,46,T1,android,none,chinese,clear,0,8,0,9.09,5,27.47,4.8,0,none,5.46,53.5,34.13,0.0,39.59,13.54,0
100098,44,T1,ios,plus,american,hot,4,1,0,1.34,7,11.41,4.43,1,none,2.68,21.4,18.29,0.0,20.97,7.2,0
100099,23,T1,web,none,chinese,cold,6,15,1,6.86,3,24.78,4.37,1,none,5.0,51.0,22.86,0.0,27.86,8.88,0
100100,52,T3,android,plus,italian,clear,6,20,1,7.69,3,28.83,4.42,2,none,5.91,52.0,41.81,0.0,47.72,16.28,0
100101,26,T1,android,none,mexican,clear,4,4,0,6.68,3,21.79,3.47,1,none,4.77,47.9,11.81,0.0,16.58,5.29,0
100102,51,T3,android,plus,american,clear,6,8,1,1.58,4,23.72,4.58,0,percent10,2.53,26.7,26.75,2.68,26.6,10.43,0
100103,18,T2,ios,none,chinese,clear,5,12,1,8.74,11,20.3,4.66,0,flat3,4.75,60.7,31.36,3.0,33.11,10.17,1
100104,51,T2,ios,none,italian,hot,1,1,0,15.45,2,18.4,4.44,1,none,7.0,82.3,25.57,0.0,32.57,6.69,0
100105,51,T2,ios,plus,american,clear,4,7,0,2.16,5,14.05,3.76,0,none,2.58,24.1,18.21,0.0,20.79,9.42,0
100106,50,T1,android,none,italian,clear,4,5,0,3.46,3,18.87,4.41,1,flat3,3.42,32.8,29.43,3.0,29.85,9.33,0
100107,45,T2,android,none,thai,clear,5,0,1,2.65,7,16.18,3.89,2,none,2.98,31.2,19.42,0.0,22.4,7.49,0
100108,37,T1,web,none,italian,rain,3,16,0,6.02,7,30.47,4.5,0,none,5.04,45.7,30.55,0.0,35.59,14.21,0
100109,47,T3,android,plus,indian,clear,5,17,1,3.15,7,19.8,4.46,0,percent10,3.05,32.1,21.91,2.19,22.77,7.83,0
100110,29,T1,web,none,mexican,clear,4,1,0,6.25,11,19.01,4.12,2,none,4.57,48.8,20.27,0.0,24.84,8.0,0
100111,50,T1,android,none,italian,clear,1,3,0,3.78,10,20.33,4.34,0,percent10,3.48,35.1,26.31,2.63,27.16,8.89,0
100112,41,T2,android,pro,chinese,hot,3,1,0,4.57,3,22.91,4.36,0,percent10,3.77,31.5,18.84,1.88,20.73,7.61,0
100113,37,T2,android,pro,middle_eastern,clear,6,22,1,4.18,7,15.55,4.7,0,none,4.32,38.3,22.39,0.0,26.71,9.81,0
100114,39,T2,android,none,american,clear,5,13,1,1.37,1,23.71,4.27,1,percent10,2.84,28.5,18.25,1.83,19.26,7.91,0
100115,41,T2,web,none,chinese,hot,4,13,0,4.42,13,17.52,3.91,0,none,3.85,36.1,20.37,0.0,24.22,8.18,0
100116,19,T1,android,none,mexican,clear,2,2,0,1.61,5,23.61,3.64,0,none,3.2,25.1,25.15,0.0,28.35,13.4,0
100117,23,T2,ios,pro,american,rain,1,0,0,1.76,8,14.78,4.73,1,flat3,3.29,36.1,16.57,3.0,16.86,4.48,0
100118,28,T1,ios,none,indian,clear,1,22,0,8.85,9,18.38,3.79,0,flat3,4.93,64.7,23.55,3.0,25.48,6.65,0
100119,22,T1,web,none,indian,hot,2,22,0,5.95,3,28.12,3.85,0,none,5.14,45.0,40.99,0.0,46.13,16.73,0
100120,36,T1,ios,none,mexican,clear,6,13,1,5.66,8,31.14,4.09,0,none,4.79,47.1,35.26,0.0,40.05,14.29,0
100121,46,T1,web,none,middle_eastern,clear,3,3,0,4.47,8,23.22,4.1,2,percent10,3.6,36.2,23.61,2.36,24.85,6.91,0
100122,45,T1,web,none,middle_eastern,clear,2,0,0,13.77,4,12.49,3.7,0,percent10,7.11,74.4,17.11,1.71,22.51,2.98,0
100123,37,T2,android,plus,mexican,cold,6,20,1,4.4,3,9.15,4.27,0,flat3,4.12,41.7,11.98,3.0,13.1,2.63,0
100124,53,T1,web,none,thai,hot,2,12,0,3.94,5,23.22,3.82,0,none,4.16,36.9,27.02,0.0,31.18,11.39,0
100125,41,T1,web,none,mexican,clear,5,7,1,3.86,6,31.1,4.39,1,none,3.86,39.0,35.24,0.0,39.1,16.09,0
100126,21,T2,android,plus,middle_eastern,clear,4,0,0,7.97,4,17.88,4.42,0,none,4.94,48.3,18.59,0.0,23.53,7.96,0
100127,50,T1,ios,none,mexican,clear,2,13,0,4.27,4,18.07,4.64,1,percent10,4.16,40.7,22.36,2.24,24.28,7.31,0
100128,42,T2,android,none,middle_eastern,clear,6,21,1,5.05,6,19.67,4.41,0,none,4.51,40.9,21.16,0.0,25.67,8.37,0
100129,44,T3,ios,none,italian,clear,4,20,0,8.35,3,33.11,4.48,0,percent20,5.17,55.6,42.02,8.4,38.79,9.22,0
100130,41,T1,android,plus,middle_eastern,hot,6,17,1,5.74,7,22.56,3.73,3,none,4.71,39.3,38.07,0.0,42.78,14.68,0
100131,41,T3,ios,none,american,clear,0,1,0,7.14,7,19.26,3.96,0,none,4.08,48.5,19.76,0.0,23.84,7.84,1
100132,21,T1,android,plus,american,hot,1,18,0,2.64,5,19.19,4.2,0,none,3.27,26.1,23.77,0.0,27.04,10.21,0
100133,41,T1,ios,none,indian,clear,2,16,0,2.01,4,19.88,4.55,0,none,3.04,29.0,25.69,0.0,28.73,11.31,0
100134,51,T2,android,none,american,hot,4,20,0,9.95,7,24.83,4.23,0,none,7.08,62.0,32.34,0.0,39.42,14.28,0
100135,30,T2,ios,none,chinese,clear,5,3,1,6.99,9,14.17,4.15,0,none,4.2,55.4,19.52,0.0,23.72,9.98,0
100136,43,T3,android,none,middle_eastern,clear,0,20,0,6.11,6,23.79,4.45,0,flat3,4.34,45.2,23.19,3.0,24.53,7.73,0
100137,19,T1,ios,none,chinese,hot,1,17,0,5.26,6,25.25,3.58,0,none,4.46,38.9,22.38,0.0,26.84,8.82,0
100138,32,T2,android,plus,american,clear,4,18,0,4.22,7,15.5,3.89,1,none,3.5,34.3,14.69,0.0,18.19,4.87,0
100139,36,T1,android,none,thai,hot,2,3,0,2.7,7,24.05,4.31,1,none,3.41,25.1,32.25,0.0,35.66,14.45,1
100140,59,T1,android,none,italian,hot,4,20,0,2.64,5,31.6,4.26,0,flat3,3.76,30.4,36.15,3.0,36.91,13.39,0
100141,27,T1,web,pro,middle_eastern,cold,0,0,0,1.98,3,14.13,4.42,1,percent10,2.96,24.3,15.79,1.58,17.17,6.45,0
100142,29,T3,android,none,italian,hot,3,5,0,1.62,8,17.17,4.34,0,flat3,2.58,28.8,20.12,3.0,19.7,6.57,0
100143,35,T1,ios,none,indian,clear,0,3,0,2.37,9,20.8,4.39,1,percent20,3.34,29.3,28.2,5.64,25.9,5.62,0
100144,59,T3,android,none,indian,clear,6,5,1,3.34,8,20.37,4.05,1,percent10,3.0,30.7,30.28,3.03,30.25,8.25,1
100145,53,T2,ios,none,american,rain,1,15,0,9.91,12,12.35,4.72,0,none,6.0,62.7,14.4,0.0,20.4,5.46,0
100146,19,T2,android,pro,italian,clear,1,22,0,1.58,12,12.74,3.88,0,none,3.19,22.3,16.05,0.0,19.24,9.11,0
100147,27,T2,android,pro,american,clear,0,23,0,4.57,9,15.81,4.17,0,none,4.15,38.0,20.63,0.0,24.78,9.59,0
100148,52,T3,android,none,indian,clear,1,2,0,10.5,5,18.64,4.26,1,percent10,5.87,66.4,21.87,2.19,25.55,3.1,0
100149,20,T1,android,pro,indian,rain,3,23,0,7.94,3,18.63,4.47,0,none,6.52,51.1,21.35,0.0,27.87,8.77,0
100150,53,T1,android,none,middle_eastern,clear,4,2,0,4.28,6,24.46,3.92,1,percent20,3.98,39.0,32.26,6.45,29.79,6.9,0
100151,29,T2,android,pro,chinese,clear,6,17,1,2.75,7,27.49,4.22,1,percent20,3.15,28.3,33.31,6.66,29.8,8.89,0
100152,56,T1,android,plus,thai,cold,6,4,1,1.18,12,16.28,4.61,0,percent10,2.71,22.1,20.17,2.02,20.86,8.58,0
100153,30,T1,web,none,italian,hot,0,19,0,4.66,8,21.23,4.25,2,none,4.39,34.5,27.51,0.0,31.9,11.92,1
100154,36,T1,android,none,mexican,clear,2,8,0,6.44,10,19.83,4.31,0,none,4.73,43.4,29.22,0.0,33.95,13.27,0
100155,45,T1,web,plus,indian,clear,6,20,1,2.8,8,36.7,4.12,0,none,3.5,32.4,50.66,0.0,54.16,20.05,0
100156,23,T1,android,none,chinese,hot,1,13,0,8.28,4,16.7,4.25,0,none,5.43,57.4,21.14,0.0,26.57,7.45,0
100157,41,T1,android,none,american,clear,4,12,0,3.97,8,21.7,4.24,0,none,3.47,31.7,36.67,0.0,40.14,14.74,0
100158,39,T3,android,plus,mexican,rain,2,10,0,5.13,7,32.21,4.39,0,percent10,4.7,39.5,37.57,3.76,38.51,12.8,0
100159,50,T1,android,none,mexican,hot,1,5,0,4.29,4,7.29,3.82,0,none,4.21,38.4,11.09,0.0,15.3,5.61,1
100160,59,T3,android,none,middle_eastern,clear,0,12,0,8.21,7,26.9,4.2,0,none,4.92,51.4,28.56,0.0,33.48,8.07,0
100161,45,T3,web,none,italian,clear,2,15,0,8.37,6,14.33,4.3,0,none,5.57,50.8,17.38,0.0,22.95,6.48,0
100162,35,T1,ios,plus,american,clear,0,3,0,5.87,6,12.72,4.53,0,flat3,4.08,40.9,18.01,3.0,19.09,4.76,0
100163,35,T2,ios,none,american,clear,1,3,0,3.56,7,19.92,4.48,1,percent20,3.62,31.8,20.5,4.1,20.02,5.48,1
100164,35,T2,android,none,mexican,rain,3,10,0,4.19,6,19.26,4.74,0,percent10,4.39,39.0,24.21,2.42,26.18,7.39,0
100165,52,T2,android,none,italian,clear,5,19,1,14.14,5,21.75,4.26,1,percent10,6.69,78.9,30.07,3.01,33.75,5.92,1
100166,31,T1,ios,none,italian,cold,3,8,0,10.88,12,23.77,3.79,1,none,6.78,64.9,25.23,0.0,32.01,10.09,0
100167,25,T1,android,plus,middle_eastern,rain,5,9,1,4.43,6,20.81,4.22,0,none,4.68,39.8,20.74,0.0,25.42,8.63,0
100168,32,T1,android,none,italian,clear,0,23,0,2.06,7,29.8,3.68,1,none,3.62,30.7,35.6,0.0,39.22,16.57,0
100169,18,T2,android,plus,thai,clear,2,6,0,7.4,10,28.61,3.68,1,percent20,4.78,46.2,41.66,8.33,38.11,5.53,0
100170,22,T3,android,none,indian,clear,4,8,0,3.16,10,20.76,4.03,1,none,3.58,30.9,31.23,0.0,34.81,13.82,0
100171,21,T2,ios,plus,italian,clear,0,20,0,9.62,8,22.41,4.33,0,percent20,6.32,55.6,11.93,2.39,15.86,1.09,0
100172,50,T2,android,none,middle_eastern,rain,4,12,0,2.78,5,25.17,3.87,0,percent10,4.25,34.7,28.79,2.88,30.16,8.85,1
100173,48,T3,android,plus,mexican,clear,1,2,0,3.19,11,20.54,4.72,0,none,2.96,27.4,24.44,0.0,27.4,11.38,0
100174,47,T2,web,none,american,clear,2,5,0,1.93,7,10.7,4.33,0,percent10,2.71,28.2,11.16,1.12,12.75,4.43,0
100175,37,T1,web,plus,chinese,clear,4,23,0,12.09,9,20.85,4.68,0,none,6.83,69.1,26.34,0.0,33.17,6.54,0
100176,48,T3,android,none,american,clear,6,19,1,2.31,11,16.06,4.86,1,none,2.74,29.7,19.45,0.0,22.19,7.24,0
100177,24,T1,android,none,middle_eastern,rain,0,22,0,7.04,4,20.12,4.6,1,percent20,5.78,52.3,24.13,4.83,25.08,6.05,1
100178,55,T1,ios,none,middle_eastern,cold,3,11,0,3.83,6,12.2,4.08,1,flat3,3.67,33.0,15.93,3.0,16.6,3.42,0
100179,39,T2,android,none,mexican,rain,3,14,0,3.22,8,11.79,3.88,1,flat3,4.44,38.8,12.03,3.0,13.47,1.42,0
100180,57,T3,android,none,thai,cold,0,3,0,3.1,7,25.01,3.92,1,percent10,3.1,30.3,26.96,2.7,27.36,7.62,1
100181,24,T1,android,plus,middle_eastern,rain,4,17,0,9.5,4,21.95,4.3,1,percent10,5.76,60.5,24.99,2.5,28.25,5.13,1
100182,38,T2,android,plus,american,clear,0,13,0,19.09,8,18.63,4.1,1,percent10,9.65,90.0,23.86,2.39,31.12,1.88,1
100183,47,T1,web,none,middle_eastern,hot,4,0,0,8.87,5,16.76,3.89,0,percent10,4.98,53.1,21.36,2.14,24.2,5.7,1
100184,38,T1,ios,pro,indian,clear,1,20,0,1.34,14,20.6,4.46,0,none,3.61,23.0,30.85,0.0,34.46,12.57,0
100185,36,T1,web,none,mexican,clear,0,10,0,7.06,11,20.36,4.43,0,percent10,4.84,54.5,27.86,2.79,29.91,9.67,1
100186,24,T2,ios,none,american,cold,0,23,0,3.85,7,8.23,3.93,1,none,4.69,36.6,13.25,0.0,17.94,5.58,0
100187,34,T3,ios,plus,american,rain,3,21,0,4.0,9,17.96,4.05,0,none,5.18,40.9,20.93,0.0,26.11,9.67,1
100188,28,T1,ios,none,chinese,cold,1,10,0,4.88,3,20.55,3.73,0,percent10,4.27,36.5,27.73,2.77,29.23,8.18,0
100189,30,T1,ios,none,thai,clear,3,0,0,4.32,4,18.47,4.28,0,percent10,3.9,38.3,22.64,2.26,24.28,7.81,0
100190,46,T1,android,none,chinese,hot,6,3,1,5.88,2,8.91,4.09,0,none,4.85,43.6,15.3,0.0,20.15,8.13,0
100191,44,T1,android,none,indian,clear,5,6,1,3.74,8,19.51,4.59,0,percent20,3.74,37.6,26.77,5.35,25.16,8.41,0
100192,43,T2,android,none,indian,clear,5,7,1,7.51,5,17.95,4.24,0,percent10,4.99,44.9,18.01,1.8,21.2,6.81,0
100193,33,T2,android,none,middle_eastern,hot,3,8,0,4.52,3,14.01,3.98,1,none,3.83,34.9,15.31,0.0,19.14,7.42,0
100194,58,T2,android,none,chinese,clear,0,22,0,4.58,10,12.62,4.25,1,none,4.13,37.7,16.1,0.0,20.23,5.61,0
